Virial Mass,Virial Radius,Concentration,Velocity Disp,Vmax,Spin,B to A,C to A,Energy ratio,Peak Mass,peak Vmax,Halfmass a,Peakmass a,Acc Rate
9.476976465759527,1.576306789588092,0.9184863335723948,1.6499187187354192,1.7603470785299065,-1.7387371312075064,0.62597,0.24711,0.4756,9.476976465759527,1.7603470785299065,0.1323,0.1384,9.232
9.264817823009537,1.5056382849910168,0.7714787717465501,1.5166675590990428,1.6648299411430905,-1.5137112390394336,0.489495,0.09053,0.4694,9.389697548206385,1.7103712642607627,0.1323,0.1323,-10.36
8.979457318097849,1.4105241725861883,0.5768034821415551,1.426023015689876,1.5446880223026773,-1.2773660774661877,0.490247,0.172643,0.746667,8.979457318097849,1.5446880223026773,0.1203,0.1384,1.639
9.59692681434297,1.616296928053596,0.832393348780861,1.679609571779756,1.783903579272735,-1.7039933306863277,0.7094,0.45589,0.4628,9.59692681434297,1.825426117767823,0.1084,0.1384,7.548
10.424554976606712,1.8921781128305133,0.45746553218499014,2.053884790394692,2.0283678836970616,-1.8265223565470055,0.57149,0.36915,0.7148,10.424554976606712,2.0283678836970616,0.1203,0.1384,96.65
9.496237545166736,1.582744965691277,0.568686688266941,1.6309361190641913,1.7141620460988531,-1.1320613491092153,0.41095,0.15029,0.4962,9.496237545166736,1.7388598020722001,0.1203,0.1384,9.681
10.009450895798693,1.7538510591987906,0.8122402570451568,1.9091279419892608,1.9179254220647413,-1.7328282715969863,0.60454,0.46068,0.6436,10.009450895798693,1.9179254220647413,0.1143,0.1384,21.15
9.581608366032057,1.6112239540289375,1.1284932539489945,1.7123971314067148,1.8429834701222174,-1.7286231281059254,0.67112,0.58863,0.477,9.581608366032057,1.8429834701222174,0.1084,0.1384,9.404
9.280578370368076,1.5108799847561176,0.44844843159350545,1.53668467262093,1.6338722626583326,-1.4825401734597679,0.44212,0.00293,0.6472,9.280578370368076,1.6338722626583326,0.1384,0.1384,13.02
9.248463717551031,1.5001541102873064,0.9028978273621645,1.4815859363676223,1.6810602436318118,-1.6524748400013105,0.85554,0.62837,0.3644,9.248463717551031,1.6810602436318118,0.1384,0.1384,12.1
9.736555847162636,1.6628522332647961,0.9117271617292126,1.7949757440511316,1.8455321174935755,-2.0996328713435295,0.66955,0.46314,0.5346,9.736555847162636,1.8606374167737547,0.1143,0.1384,14.55
9.037426497940624,1.4298652787345607,0.6509908067318213,1.372175286115064,1.5700757053216041,-1.100781582148627,0.25813,0.12276,0.425,9.037426497940624,1.5700757053216041,0.1143,0.1384,3.28
9.678518379040113,1.6435217632947308,0.4288368325441295,1.7486530934242674,1.765668554759014,-1.1678744574659907,0.4112,0.22881,0.7376,9.678518379040113,1.765668554759014,0.1323,0.1384,46.09
10.098297536494698,1.7834318851192743,0.7414868129740106,1.9327780700605506,1.9360107957152095,-1.2426039712069759,0.90322,0.5804,0.653,10.098297536494698,1.9360107957152095,0.1023,0.1384,25.5
9.364926033789976,1.5389882268582256,0.5455519963606139,1.5417040232842885,1.668292710448221,-1.1153178957939751,0.57995,0.23083,0.4608,9.364926033789976,1.668292710448221,0.1203,0.1384,9.407
9.064083435963596,1.438605629346022,0.7302697266637587,1.5121505369220305,1.585686278452497,-1.502241281712732,0.676875,0.39369,0.7371,9.064083435963596,1.585686278452497,0.1323,0.1384,8.074
8.736555847162636,1.3295199121858712,0.49389274597597355,1.180125875164054,1.45499721730946,-1.8758219445253248,0.33549,0.12973,1.0086,8.736555847162636,1.45499721730946,0.1384,0.1384,3.721
10.187520720836464,1.813193887069551,0.7727102228632811,1.9959421629925507,1.9748799730069304,-1.8934691461776187,0.51067,0.31432,0.728,10.187520720836464,2.0048370609383097,0.1323,0.1384,59.86
9.456669629423757,1.569572866897649,1.0586259182246762,1.680516809381255,1.7843319480221482,-1.5887170869826157,0.73117,0.40597,0.5198,9.565847818673518,1.7843319480221482,0.1143,0.1323,2.948
9.919810020170196,1.7239397759297144,0.8691480818757289,1.9189734304929542,1.8983411657275093,-2.0259490972071226,0.53149,0.45898,0.7468,9.919810020170196,1.8983411657275093,0.1323,0.1384,16.13
9.389697548206385,1.5472576734312962,0.6006089395246198,1.6114046377115934,1.6817837664678814,-1.1512568181043163,0.30134,0.07111,0.668,9.389697548206385,1.6817837664678814,0.1203,0.1384,8.389
8.611617110554336,1.2878688836785601,0.5246655833077886,0.9095560292411753,1.4154741681092358,-0.7946332121335238,0.0,0.0,2.643,8.611617110554336,1.4154741681092358,0.1323,0.1384,2.305
9.213783299335304,1.4885648167417371,0.5249186302568938,1.529430354366986,1.6162654052817083,-0.9424099613293359,0.19592,0.054,0.6456,9.213783299335304,1.6162654052817083,0.1143,0.1384,4.214
9.280578370368076,1.5108799847561176,0.7950437095911238,1.4874212113594742,1.6720054450229518,-1.237021509132257,0.72452,0.34141,0.3694,9.280578370368076,1.6720054450229518,0.1323,0.1384,13.83
10.401745082237063,1.8845574843640103,0.7931015713089185,2.081527326244805,2.062581984228163,-1.8620132672764684,0.74921,0.60542,0.6976,10.401745082237063,2.062581984228163,0.1323,0.1384,60.03
9.639685661242682,1.6305499078498524,0.9215344908777352,1.7774268223893115,1.8151791301394187,-1.2965366581167068,0.72182,0.3167,0.6388,9.815710539788963,1.866405498378055,0.1023,0.1143,-1.097
10.410945858687775,1.8876566775838584,0.7004462779338056,2.091315159697223,2.0445005623706414,-1.264880365918128,0.6329,0.37345,0.788,10.410945858687775,2.0445005623706414,0.1203,0.1384,101.4
